KPI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Ticker,Type
Net Cash Flow,,-7,22,8,1,51,-60,-5,6,-7,6,-8,HSCL,Cash_Flow
Sales,,1190,1305,1171,1485,1323,1489,1016,1072,1204,1670,1816,HINDCOPPER,Income_Statement
Expenses,,1278,1120,788,952,1013,985,888,959,981,1399,1310,HINDCOPPER,Income_Statement
Operating Profit,,-88,184,383,534,310,504,128,113,223,271,506,HINDCOPPER,Income_Statement
OPM %,,-7%,14%,33%,36%,23%,34%,13%,11%,18%,16%,28%,HINDCOPPER,Income_Statement
Other Income,,120,53,54,85,250,103,67,49,27,41,37,HINDCOPPER,Income_Statement
Interest,,8,3,4,2,6,2,1,3,14,26,60,HINDCOPPER,Income_Statement
Depreciation,,19,18,97,144,151,174,113,119,142,165,253,HINDCOPPER,Income_Statement
Profit before tax,,5,216,335,473,404,431,80,40,94,122,230,HINDCOPPER,Income_Statement
Tax %,,288%,28%,33%,32%,12%,33%,16%,5%,34%,35%,37%,HINDCOPPER,Income_Statement
Net Profit,,-10,155,224,323,356,286,68,38,62,80,146,HINDCOPPER,Income_Statement
EPS in Rs,,-0.11,1.67,2.42,3.5,3.84,3.1,0.73,0.41,0.67,0.86,1.57,HINDCOPPER,Income_Statement
Dividend Payout %,,0%,0%,41%,29%,26%,32%,21%,0%,30%,29%,33%,HINDCOPPER,Income_Statement
Share Capital,,463,463,463,463,463,463,463,463,463,463,463,HINDCOPPER,Balance_Sheet
Reserves,,505,660,719,935,1189,1367,1399,948,1004,1065,1174,HINDCOPPER,Balance_Sheet
Borrowings,,36,0,0,0,0,0,0,207,472,657,1070,HINDCOPPER,Balance_Sheet
Other Liabilities,,646,498,451,505,461,434,371,1181,597,630,636,HINDCOPPER,Balance_Sheet
Total Liabilities,,1650,1621,1633,1903,2113,2263,2233,2799,2536,2814,3344,HINDCOPPER,Balance_Sheet
Fixed Assets,,210,220,213,209,206,212,202,178,354,332,316,HINDCOPPER,Balance_Sheet
CWIP,,379,409,459,480,587,691,851,733,279,660,1022,HINDCOPPER,Balance_Sheet
Investments,,0,72,64,149,89,29,71,76,0,0,0,HINDCOPPER,Balance_Sheet
Other Assets,,1061,920,896,1066,1231,1331,1108,1812,1903,1822,2005,HINDCOPPER,Balance_Sheet
Total Assets,,1650,1621,1633,1903,2113,2263,2233,2799,2536,2814,3344,HINDCOPPER,Balance_Sheet
Cash from Operating Activity,,-59,94,349,350,215,331,237,262,-260,372,252,HINDCOPPER,Cash_Flow
Cash from Investing Activity,,-86,-181,-132,-210,-114,-259,-209,-451,-258,-558,-587,HINDCOPPER,Cash_Flow
Cash from Financing Activity,,-86,-37,-49,-55,-112,-111,-109,183,-8,-96,445,HINDCOPPER,Cash_Flow
Net Cash Flow,,-231,-124,169,85,-11,-38,-80,-7,-526,-282,110,HINDCOPPER,Cash_Flow
Sales,,442,534,680,803,916,1021,1262,1501,1741,2152,2538,IFBIND,Income_Statement
Expenses,,409,490,616,761,864,975,1174,1431,1636,1991,2412,IFBIND,Income_Statement
Operating Profit,,33,44,64,42,52,46,87,70,104,161,126,IFBIND,Income_Statement
OPM %,,8%,8%,9%,5%,6%,4%,7%,5%,6%,7%,5%,IFBIND,Income_Statement
Other Income,,292,23,17,11,12,8,15,13,13,15,32,IFBIND,Income_Statement
Interest,,1,1,2,2,2,2,3,3,5,6,7,IFBIND,Income_Statement
Depreciation,,8,9,10,15,18,23,41,45,44,51,55,IFBIND,Income_Statement
Profit before tax,,316,58,69,36,43,29,59,35,68,119,96,IFBIND,Income_Statement
Tax %,,0%,7%,27%,15%,28%,26%,16%,11%,19%,30%,23%,IFBIND,Income_Statement
Net Profit,,315,54,50,31,31,22,50,31,55,83,74,IFBIND,Income_Statement
EPS in Rs,,,,14.19,8.6,7.76,5.33,12.27,7.74,13.61,20.55,18.25,IFBIND,Income_Statement
Dividend Payout %,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,IFBIND,Income_Statement
Share Capital,,46,36,36,36,41,41,41,41,41,41,41,IFBIND,Balance_Sheet
Reserves,,67,118,175,206,274,296,346,377,430,509,579,IFBIND,Balance_Sheet
Borrowings,,0,0,0,0,10,48,34,16,28,22,14,IFBIND,Balance_Sheet
Other Liabilities,,118,137,178,199,213,256,350,357,381,510,569,IFBIND,Balance_Sheet
Total Liabilities,,215,290,389,441,538,641,771,791,881,1082,1204,IFBIND,Balance_Sheet
Fixed Assets,,70,75,124,156,187,226,273,274,305,294,313,IFBIND,Balance_Sheet
CWIP,,2,7,15,5,8,15,6,24,14,7,22,IFBIND,Balance_Sheet
Investments,,0,11,46,10,57,37,52,17,63,126,61,IFBIND,Balance_Sheet
Other Assets,,143,197,204,271,287,364,441,477,499,655,808,IFBIND,Balance_Sheet
Total Assets,,215,290,389,441,538,641,771,791,881,1082,1204,IFBIND,Balance_Sheet
Cash from Operating Activity,,32,45,71,44,33,21,82,49,93,118,50,IFBIND,Cash_Flow
Cash from Investing Activity,,-9,-37,-82,-18,-93,-36,-90,-21,-104,-91,-31,IFBIND,Cash_Flow
Cash from Financing Activity,,-6,-14,1,0,52,37,-15,-21,9,-10,-10,IFBIND,Cash_Flow
Net Cash Flow,,17,-6,-10,25,-9,21,-23,7,-2,17,8,IFBIND,Cash_Flow
Sales,,301,347,387,471,482,564,385,580,711,983,1685,IOLCP,Income_Statement
Expenses,,268,309,319,402,392,468,373,529,608,863,1276,IOLCP,Income_Statement
Operating Profit,,33,39,68,69,89,96,11,51,102,120,410,IOLCP,Income_Statement
OPM %,,11%,11%,18%,15%,18%,17%,3%,9%,14%,12%,24%,IOLCP,Income_Statement
Other Income,,3,1,2,2,3,1,1,1,1,6,10,IOLCP,Income_Statement
Interest,,15,15,37,43,57,60,59,61,68,64,51,IOLCP,Income_Statement
Depreciation,,10,10,24,24,31,32,29,30,30,30,32,IOLCP,Income_Statement
Profit before tax,,11,15,9,4,3,5,-75,-39,6,31,336,IOLCP,Income_Statement
Tax %,,-14%,32%,32%,-25%,46%,35%,12%,-4%,21%,12%,30%,IOLCP,Income_Statement
Net Profit,,13,10,6,5,2,3,-67,-40,5,28,237,IOLCP,Income_Statement
EPS in Rs,,6.99,4.41,2.4,1.85,0.61,1.15,-13.99,-7.12,0.83,4.93,41.61,IOLCP,Income_Statement
Dividend Payout %,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,IOLCP,Income_Statement
Share Capital,,23,28,31,31,31,49,48,56,56,56,57,IOLCP,Balance_Sheet
Reserves,,79,116,140,142,142,160,154,129,132,160,408,IOLCP,Balance_Sheet
Borrowings,,247,269,337,394,400,357,400,453,447,422,284,IOLCP,Balance_Sheet
Other Liabilities,,75,100,100,124,159,195,100,135,182,214,193,IOLCP,Balance_Sheet
Total Liabilities,,420,508,603,687,727,741,702,772,817,852,942,IOLCP,Balance_Sheet
Fixed Assets,,123,373,351,462,430,411,403,400,374,406,412,IOLCP,Balance_Sheet
CWIP,,187,1,57,12,32,33,4,4,21,7,27,IOLCP,Balance_Sheet
Investments,,0,0,0,0,0,0,0,0,0,0,0,IOLCP,Balance_Sheet
Other Assets,,109,135,195,213,265,297,295,369,422,439,503,IOLCP,Balance_Sheet
Total Assets,,420,508,603,687,727,741,702,772,817,852,942,IOLCP,Balance_Sheet
Cash from Operating Activity,,16,31,24,55,53,78,-47,18,83,120,273,IOLCP,Cash_Flow
Cash from Investing Activity,,-167,-67,-69,-87,-18,-12,-5,-27,-23,-50,-63,IOLCP,Cash_Flow
Cash from Financing Activity,,154,35,59,23,-32,-66,50,9,-60,-70,-197,IOLCP,Cash_Flow
Net Cash Flow,,3,0,13,-9,3,1,-2,0,1,-1,13,IOLCP,Cash_Flow
Sales,,3359,3687,3500,4203,4597,4441,4424,4229,5079,5176,5628,INDIACEM,Income_Statement
Expenses,,2431,2944,3066,3298,3773,3953,3741,3453,4218,4479,4989,INDIACEM,Income_Statement
Operating Profit,,928,743,434,905,824,488,683,776,861,697,639,INDIACEM,Income_Statement
OPM %,,28%,20%,12%,22%,18%,11%,15%,18%,17%,13%,11%,INDIACEM,Income_Statement
Other Income,,36,165,42,17,18,-20,31,18,17,15,30,INDIACEM,Income_Statement
Interest,,112,143,142,290,308,354,426,382,360,340,324,INDIACEM,Income_Statement
Depreciation,,203,233,244,251,282,276,258,219,257,256,251,INDIACEM,Income_Statement
Profit before tax,,648,531,90,381,252,-162,29,192,260,116,93,INDIACEM,Income_Statement
Tax %,,33%,33%,24%,23%,35%,0%,0%,32%,33%,13%,26%,INDIACEM,Income_Statement
Net Profit,,432,354,68,293,164,-162,29,130,173,101,69,INDIACEM,Income_Statement
EPS in Rs,,15.3,11.54,2.22,9.54,5.32,-5.29,0.96,4.23,5.64,3.27,2.24,INDIACEM,Income_Statement
Dividend Payout %,,13%,17%,68%,21%,38%,0%,0%,24%,18%,24%,36%,INDIACEM,Income_Statement
Share Capital,,282,307,307,307,307,307,307,308,308,308,310,INDIACEM,Balance_Sheet
Reserves,,3349,3829,3783,3752,3782,3544,3286,4673,4802,4892,4930,INDIACEM,Balance_Sheet
Borrowings,,1988,2133,2456,2701,3023,3202,3201,3155,2921,3100,3270,INDIACEM,Balance_Sheet
Other Liabilities,,1409,1312,1393,1482,1690,1683,1518,2226,2614,2399,2595,INDIACEM,Balance_Sheet
Total Liabilities,,7028,7580,7938,8241,8803,8737,8311,10362,10645,10699,11105,INDIACEM,Balance_Sheet
Fixed Assets,,3808,3919,3834,4133,4142,4161,3586,7182,6973,6796,6713,INDIACEM,Balance_Sheet
CWIP,,904,703,288,145,339,101,89,93,128,171,177,INDIACEM,Balance_Sheet
Investments,,159,314,160,852,958,946,1585,551,619,588,695,INDIACEM,Balance_Sheet
Other Assets,,2157,2645,3655,3111,3364,3529,3051,2536,2926,3143,3520,INDIACEM,Balance_Sheet
Total Assets,,7028,7580,7938,8241,8803,8737,8311,10362,10645,10699,11105,INDIACEM,Balance_Sheet
Cash from Operating Activity,,706,209,281,821,666,536,579,917,812,468,413,INDIACEM,Cash_Flow
Cash from Investing Activity,,-942,-462,-354,-542,-572,-243,-99,-160,-188,-294,-240,INDIACEM,Cash_Flow
Cash from Financing Activity,,-105,222,53,-310,-93,-294,-479,-798,-624,-173,-175,INDIACEM,Cash_Flow
Net Cash Flow,,-340,-31,-21,-30,2,-2,2,-41,0,2,-2,INDIACEM,Cash_Flow
Sales,,,31,69,116,126,,173,246,309,404,497,INDIAMART,Income_Statement
Expenses,,,56,136,168,133,,200,290,331,595,483,INDIAMART,Income_Statement
Operating Profit,,,-25,-66,-52,-6,,-27,-44,-23,-191,14,INDIAMART,Income_Statement
OPM %,,,-82%,-96%,-45%,-5%,,-16%,-18%,-7%,-47%,3%,INDIAMART,Income_Statement
Other Income,,,5,3,4,1,,12,5,14,7,36,INDIAMART,Income_Statement
Interest,,,0,0,0,0,,0,1,0,0,0,INDIAMART,Income_Statement
Depreciation,,,2,3,4,3,,3,3,4,3,4,INDIAMART,Income_Statement
Profit before tax,,,-22,-66,-53,-9,,-19,-43,-13,-187,46,INDIAMART,Income_Statement
Tax %,,,34%,-12%,0%,0%,,0%,-1%,0%,61%,73%,INDIAMART,Income_Statement
Net Profit,,,-15,-74,-53,-9,,-19,-43,-13,-72,13,INDIAMART,Income_Statement
EPS in Rs,,,-16.04,-80.99,-57.3,-9.6,,-20.7,-47.06,-14.29,-72.61,4.4,INDIAMART,Income_Statement
Dividend Payout %,,,0%,0%,0%,0%,,0%,0%,0%,0%,0%,INDIAMART,Income_Statement
Share Capital,,,58,58,58,58,,58,75,9,10,29,INDIAMART,Balance_Sheet
Reserves,,,21,-53,-104,-113,,-139,-67,-262,-322,132,INDIAMART,Balance_Sheet
Borrowings,,,1,2,0,0,,0,0,0,0,0,INDIAMART,Balance_Sheet
Other Liabilities,,,89,141,150,158,,237,318,609,862,658,INDIAMART,Balance_Sheet
Total Liabilities,,,120,99,55,55,,107,260,356,550,819,INDIAMART,Balance_Sheet
Fixed Assets,,,8,14,13,10,,6,9,126,8,9,INDIAMART,Balance_Sheet
CWIP,,,0,0,0,0,,0,0,0,0,0,INDIAMART,Balance_Sheet
Investments,,,84,64,27,29,,68,211,156,322,614,INDIAMART,Balance_Sheet
Other Assets,,,29,21,15,15,,33,40,74,219,196,INDIAMART,Balance_Sheet
Total Assets,,,120,99,55,55,,107,260,356,550,819,INDIAMART,Balance_Sheet
Cash from Operating Activity,,,11,-13,-38,2,,14,15,59,183,259,INDIAMART,Cash_Flow
Cash from Investing Activity,,,-60,15,40,-2,,-11,-146,-60,-170,-282,INDIAMART,Cash_Flow
Cash from Financing Activity,,,0,0,-3,0,,0,133,7,15,14,INDIAMART,Cash_Flow
Net Cash Flow,,,-48,1,0,0,,3,2,6,28,-9,INDIAMART,Cash_Flow
Sales,,355,402,480,568,629,726,851,1005,1072,1038,968,INDOCO,Income_Statement
Expenses,,308,348,412,483,536,606,686,834,915,903,891,INDOCO,Income_Statement
Operating Profit,,46,54,68,85,93,120,165,171,157,135,77,INDOCO,Income_Statement
OPM %,,13%,13%,14%,15%,15%,17%,19%,17%,15%,13%,8%,INDOCO,Income_Statement
Other Income,,4,4,6,2,1,2,2,1,4,5,6,INDOCO,Income_Statement
Interest,,6,3,4,16,22,19,10,12,6,24,21,INDOCO,Income_Statement
Depreciation,,11,12,13,19,24,31,47,61,63,68,72,INDOCO,Income_Statement
Profit before tax,,33,43,57,51,48,72,109,99,91,48,-9,INDOCO,Income_Statement
Tax %,,5%,2%,10%,10%,12%,20%,24%,17%,15%,15%,69%,INDOCO,Income_Statement
Net Profit,,31,42,51,46,43,58,83,82,77,41,-3,INDOCO,Income_Statement
EPS in Rs,,3.42,4.58,5.56,5.04,4.63,6.28,8.99,8.93,8.41,4.47,-0.31,INDOCO,Income_Statement
Dividend Payout %,,21%,20%,19%,15%,24%,22%,18%,18%,19%,22%,-97%,INDOCO,Income_Statement
Share Capital,,12,12,12,12,18,18,18,18,18,18,18,INDOCO,Balance_Sheet
Reserves,,266,298,338,368,396,439,500,558,633,657,643,INDOCO,Balance_Sheet
Borrowings,,56,66,99,114,118,91,94,139,280,282,296,INDOCO,Balance_Sheet
Other Liabilities,,82,103,114,157,157,178,229,224,266,280,301,INDOCO,Balance_Sheet
Total Liabilities,,416,479,563,652,689,726,842,939,1197,1238,1258,INDOCO,Balance_Sheet
Fixed Assets,,176,197,213,302,321,325,339,373,440,489,468,INDOCO,Balance_Sheet
CWIP,,16,31,53,33,38,44,63,55,91,136,185,INDOCO,Balance_Sheet
Investments,,0,0,0,0,0,0,1,18,3,3,2,INDOCO,Balance_Sheet
Other Assets,,223,251,298,317,330,356,439,493,664,611,603,INDOCO,Balance_Sheet
Total Assets,,416,479,563,652,689,726,842,939,1197,1238,1258,INDOCO,Balance_Sheet
Cash from Operating Activity,,38,48,38,59,69,100,110,112,88,123,132,INDOCO,Cash_Flow
Cash from Investing Activity,,-29,-47,-77,-64,-43,-41,-88,-113,-171,-135,-104,INDOCO,Cash_Flow
Cash from Financing Activity,,4,7,24,-7,-26,-58,-21,0,132,-39,-16,INDOCO,Cash_Flow
Net Cash Flow,,13,9,-15,-12,0,1,1,0,50,-51,12,INDOCO,Cash_Flow
Sales,,,,0,0,3,11,29,43,53,306,545,INFIBEAM,Income_Statement
Expenses,,,,20,0,2,11,35,34,33,245,459,INFIBEAM,Income_Statement
Operating Profit,,,,-20,0,1,0,-6,9,20,60,85,INFIBEAM,Income_Statement
OPM %,,,,,,20%,0%,-20%,20%,37%,20%,16%,INFIBEAM,Income_Statement
Other Income,,,,0,0,0,0,0,18,36,27,27,INFIBEAM,Income_Statement
Interest,,,,0,0,1,0,0,0,3,4,5,INFIBEAM,Income_Statement
Depreciation,,,,0,0,1,1,3,4,6,43,46,INFIBEAM,Income_Statement
Profit before tax,,,,-20,0,-1,-1,-8,22,46,40,62,INFIBEAM,Income_Statement
Tax %,,,,0%,,0%,0%,0%,-87%,100%,66%,37%,INFIBEAM,Income_Statement
Net Profit,,,,-20,0,-1,-1,-8,42,0,13,39,INFIBEAM,Income_Statement
EPS in Rs,,,,-0.68,0,-0.03,-0.03,-0.19,0.79,0,0.25,0.59,INFIBEAM,Income_Statement
Dividend Payout %,,,,0%,,0%,0%,0%,0%,0%,81%,0%,INFIBEAM,Income_Statement
Share Capital,,,,30,30,38,40,43,53,54,54,66,INFIBEAM,Balance_Sheet
Reserves,,,,-20,-20,20,101,229,676,751,2537,2563,INFIBEAM,Balance_Sheet
Borrowings,,,,4,45,17,4,2,2,85,57,35,INFIBEAM,Balance_Sheet
Other Liabilities,,,,0,8,0,1,12,35,76,199,330,INFIBEAM,Balance_Sheet
Total Liabilities,,,,14,63,75,146,286,766,966,2847,2994,INFIBEAM,Balance_Sheet
Fixed Assets,,,,0,0,4,7,11,17,22,2019,2051,INFIBEAM,Balance_Sheet
CWIP,,,,0,0,1,4,3,5,106,33,32,INFIBEAM,Balance_Sheet
Investments,,,,10,10,10,15,15,90,75,75,221,INFIBEAM,Balance_Sheet
Other Assets,,,,4,53,60,120,256,655,762,720,689,INFIBEAM,Balance_Sheet
Total Assets,,,,14,63,75,146,286,766,966,2847,2994,INFIBEAM,Balance_Sheet
Cash from Operating Activity,,,,0,-33,3,13,15,21,-5,3,180,INFIBEAM,Cash_Flow
Cash from Investing Activity,,,,-4,-15,-10,-65,-138,-7,-493,65,-99,INFIBEAM,Cash_Flow
Cash from Financing Activity,,,,4,49,8,52,125,441,115,-56,-46,INFIBEAM,Cash_Flow
Net Cash Flow,,,,0,0,0,1,2,455,-383,12,35,INFIBEAM,Cash_Flow
Sales,,374,354,493,592,586,525,656,621,620,615,739,INGERRAND,Income_Statement
Expenses,,342,329,435,532,530,479,616,577,564,544,634,INGERRAND,Income_Statement
Operating Profit,,32,25,58,60,55,46,39,44,56,71,106,INGERRAND,Income_Statement
OPM %,,9%,7%,12%,10%,9%,9%,6%,7%,9%,12%,14%,INGERRAND,Income_Statement
Other Income,,75,54,49,69,62,62,74,47,71,74,34,INGERRAND,Income_Statement
Interest,,0,2,1,0,1,1,2,0,1,0,0,INGERRAND,Income_Statement
Depreciation,,4,4,5,5,5,8,12,10,12,13,11,INGERRAND,Income_Statement
Profit before tax,,103,73,101,123,111,98,100,81,114,132,127,INGERRAND,Income_Statement
Tax %,,35%,35%,32%,33%,30%,32%,34%,25%,32%,32%,36%,INGERRAND,Income_Statement
Net Profit,,67,47,69,83,78,67,66,61,77,89,81,INGERRAND,Income_Statement
EPS in Rs,,21.29,15.02,21.74,26.22,24.69,21.21,20.95,19.27,24.48,28.16,25.64,INGERRAND,Income_Statement
Dividend Payout %,,28%,40%,28%,92%,24%,28%,29%,31%,25%,739%,23%,INGERRAND,Income_Statement
Share Capital,,32,32,32,32,32,32,32,32,32,32,32,INGERRAND,Balance_Sheet
Reserves,,716,741,788,782,838,883,926,976,1030,1097,387,INGERRAND,Balance_Sheet
Borrowings,,0,0,0,0,0,0,0,0,0,0,0,INGERRAND,Balance_Sheet
Other Liabilities,,118,129,142,131,150,179,174,153,151,160,181,INGERRAND,Balance_Sheet
Total Liabilities,,865,902,961,945,1020,1093,1131,1161,1212,1289,599,INGERRAND,Balance_Sheet
Fixed Assets,,22,24,25,44,50,109,109,78,126,121,117,INGERRAND,Balance_Sheet
CWIP,,0,0,0,1,52,8,46,35,2,1,2,INGERRAND,Balance_Sheet
Investments,,0,0,0,0,0,0,0,0,0,0,0,INGERRAND,Balance_Sheet
Other Assets,,843,878,936,900,918,977,976,1048,1084,1167,480,INGERRAND,Balance_Sheet
Total Assets,,865,902,961,945,1020,1093,1131,1161,1212,1289,599,INGERRAND,Balance_Sheet
Cash from Operating Activity,,7,37,1,-16,50,-64,29,67,121,77,37,INGERRAND,Cash_Flow
Cash from Investing Activity,,14,10,18,-134,-43,31,-4,113,141,93,100,INGERRAND,Cash_Flow
Cash from Financing Activity,,-22,-24,-22,-88,-23,-23,-24,-23,-23,-23,-791,INGERRAND,Cash_Flow
Net Cash Flow,,-1,24,-3,-239,-15,-56,1,156,239,148,-655,INGERRAND,Cash_Flow
Sales,,721,668,807,686,816,957,1061,1144,1175,1250,1501,JBCHEPHARM,Income_Statement
Expenses,,609,531,639,620,705,821,868,918,952,1050,1209,JBCHEPHARM,Income_Statement
Operating Profit,,112,137,168,66,111,136,193,226,222,199,292,JBCHEPHARM,Income_Statement
OPM %,,16%,21%,21%,10%,14%,14%,18%,20%,19%,16%,19%,JBCHEPHARM,Income_Statement
Other Income,,15,16,6,789,26,-9,10,56,46,39,37,JBCHEPHARM,Income_Statement
Interest,,15,11,10,24,5,6,7,10,5,3,5,JBCHEPHARM,Income_Statement
Depreciation,,20,21,23,22,24,27,38,40,46,56,55,JBCHEPHARM,Income_Statement
Profit before tax,,92,121,141,809,108,94,159,231,217,179,269,JBCHEPHARM,Income_Statement
Tax %,,14%,16%,16%,21%,21%,27%,29%,22%,20%,29%,32%,JBCHEPHARM,Income_Statement
Net Profit,,79,101,118,643,85,68,114,179,173,128,182,JBCHEPHARM,Income_Statement
EPS in Rs,,9.33,11.97,13.99,75.87,10.03,8.08,13.39,21.13,20.39,15.32,22.69,JBCHEPHARM,Income_Statement
Dividend Payout %,,11%,17%,14%,54%,30%,37%,105%,24%,5%,13%,22%,JBCHEPHARM,Income_Statement
Share Capital,,17,17,17,17,17,17,17,17,17,17,16,JBCHEPHARM,Balance_Sheet
Reserves,,515,597,696,937,992,1031,999,1206,1371,1437,1469,JBCHEPHARM,Balance_Sheet
Borrowings,,171,136,169,70,50,93,105,175,49,28,26,JBCHEPHARM,Balance_Sheet
Other Liabilities,,93,121,125,149,214,201,327,244,248,285,283,JBCHEPHARM,Balance_Sheet
Total Liabilities,,796,870,1007,1173,1273,1342,1449,1641,1684,1767,1793,JBCHEPHARM,Balance_Sheet
Fixed Assets,,221,218,225,241,294,282,301,369,609,570,552,JBCHEPHARM,Balance_Sheet
CWIP,,7,0,4,39,5,46,55,135,4,17,15,JBCHEPHARM,Balance_Sheet
Investments,,46,62,123,338,434,536,598,612,544,567,589,JBCHEPHARM,Balance_Sheet
Other Assets,,523,590,655,555,540,477,495,525,528,613,636,JBCHEPHARM,Balance_Sheet
Total Assets,,796,870,1007,1173,1273,1342,1449,1641,1684,1767,1793,JBCHEPHARM,Balance_Sheet
Cash from Operating Activity,,98,109,137,851,80,-12,143,171,178,116,193,JBCHEPHARM,Cash_Flow
Cash from Investing Activity,,-17,-29,-89,-236,-112,-139,-122,-52,-42,-24,-28,JBCHEPHARM,Cash_Flow
Cash from Financing Activity,,-55,-51,5,-526,-31,12,-23,-97,-165,-59,-156,JBCHEPHARM,Cash_Flow
Net Cash Flow,,27,29,52,88,-62,-138,-2,22,-30,32,9,JBCHEPHARM,Cash_Flow
Sales,,1225,1490,1322,1718,2055,2057,2307,2620,2910,3412,3882,JKLAKSHMI,Income_Statement
Expenses,,918,1069,1131,1390,1643,1773,1980,2359,2545,3001,3467,JKLAKSHMI,Income_Statement
Operating Profit,,306,422,191,328,412,283,327,261,365,411,415,JKLAKSHMI,Income_Statement
OPM %,,25%,28%,14%,19%,20%,14%,14%,10%,13%,12%,11%,JKLAKSHMI,Income_Statement
Other Income,,39,44,33,63,55,44,-13,49,70,68,57,JKLAKSHMI,Income_Statement
Interest,,50,55,60,80,84,77,91,197,189,197,188,JKLAKSHMI,Income_Statement
Depreciation,,69,80,85,169,149,135,112,163,172,179,179,JKLAKSHMI,Income_Statement
Profit before tax,,227,331,79,143,235,115,112,-50,74,103,104,JKLAKSHMI,Income_Statement
Tax %,,21%,27%,25%,24%,25%,19%,14%,87%,-11%,18%,24%,JKLAKSHMI,Income_Statement
Net Profit,,179,241,59,109,176,93,96,-7,82,84,80,JKLAKSHMI,Income_Statement
EPS in Rs,,14.59,19.7,4.83,8.89,14.93,7.9,8.12,-0.56,6.97,7.14,6.76,JKLAKSHMI,Income_Statement
Dividend Payout %,,14%,13%,26%,22%,17%,25%,25%,-45%,11%,11%,11%,JKLAKSHMI,Income_Statement
Share Capital,,61,61,61,61,59,59,59,59,59,59,59,JKLAKSHMI,Balance_Sheet
Reserves,,770,960,985,1114,1201,1244,1272,1245,1323,1394,1464,JKLAKSHMI,Balance_Sheet
Borrowings,,703,922,997,1070,1337,1631,1899,1915,2171,2020,1613,JKLAKSHMI,Balance_Sheet
Other Liabilities,,297,449,394,541,547,632,910,890,971,1015,1320,JKLAKSHMI,Balance_Sheet
Total Liabilities,,1831,2391,2438,2786,3144,3566,4140,4108,4524,4489,4455,JKLAKSHMI,Balance_Sheet
Fixed Assets,,1013,1063,1381,1329,1435,1572,2582,2729,2826,2794,2639,JKLAKSHMI,Balance_Sheet
CWIP,,97,182,41,294,688,908,361,283,205,228,411,JKLAKSHMI,Balance_Sheet
Investments,,89,481,528,454,406,448,423,438,809,794,720,JKLAKSHMI,Balance_Sheet
Other Assets,,632,666,488,709,615,639,774,659,683,673,686,JKLAKSHMI,Balance_Sheet
Total Assets,,1831,2391,2438,2786,3144,3566,4140,4108,4524,4489,4455,JKLAKSHMI,Balance_Sheet
Cash from Operating Activity,,312,357,174,378,332,355,352,298,363,456,689,JKLAKSHMI,Cash_Flow
Cash from Investing Activity,,-266,-586,-317,-354,-488,-516,-406,-70,-416,-89,-78,JKLAKSHMI,Cash_Flow
Cash from Financing Activity,,-67,123,14,-25,79,184,34,-231,50,-365,-605,JKLAKSHMI,Cash_Flow
Net Cash Flow,,-21,-106,-129,0,-77,23,-21,-4,-3,3,6,JKLAKSHMI,Cash_Flow
Sales,,1074,1103,1233,1330,1459,1738,2159,2437,2629,2844,3256,JKPAPER,Income_Statement
Expenses,,900,863,974,1177,1311,1618,1904,2046,2116,2231,2386,JKPAPER,Income_Statement
Operating Profit,,174,241,259,153,148,120,254,391,512,613,870,JKPAPER,Income_Statement
OPM %,,16%,22%,21%,11%,10%,7%,12%,16%,19%,22%,27%,JKPAPER,Income_Statement
Other Income,,16,13,13,24,12,1,12,10,26,26,56,JKPAPER,Income_Statement
Interest,,67,57,51,51,50,122,204,195,188,143,122,JKPAPER,Income_Statement
Depreciation,,70,70,72,73,73,122,114,117,120,121,125,JKPAPER,Income_Statement
Profit before tax,,54,127,148,52,37,-123,-51,89,232,375,678,JKPAPER,Income_Statement
Tax %,,30%,28%,28%,5%,-1%,37%,75%,32%,30%,31%,36%,JKPAPER,Income_Statement
Net Profit,,38,91,106,49,38,-77,-13,61,163,260,437,JKPAPER,Income_Statement
EPS in Rs,,,,,3.61,2.76,-5.65,-0.93,4.1,10.44,14.82,24.53,JKPAPER,Income_Statement
Dividend Payout %,,36%,17%,17%,42%,181%,0%,0%,12%,14%,17%,14%,JKPAPER,Income_Statement
Share Capital,,79,78,78,137,137,137,137,149,156,176,178,JKPAPER,Balance_Sheet
Reserves,,330,397,511,715,739,661,641,963,1150,1470,1863,JKPAPER,Balance_Sheet
Borrowings,,696,548,647,1094,1746,2189,2089,1892,1698,1310,1350,JKPAPER,Balance_Sheet
Other Liabilities,,263,319,226,438,443,484,448,483,590,653,844,JKPAPER,Balance_Sheet
Total Liabilities,,1368,1343,1461,2383,3064,3472,3315,3486,3594,3608,4236,JKPAPER,Balance_Sheet
Fixed Assets,,929,880,844,807,771,2468,2297,2751,2636,2603,2568,JKPAPER,Balance_Sheet
CWIP,,14,21,25,582,1541,17,27,20,16,34,52,JKPAPER,Balance_Sheet
Investments,,3,42,83,73,15,96,28,41,271,164,913,JKPAPER,Balance_Sheet
Other Assets,,422,400,509,921,738,890,963,674,672,806,703,JKPAPER,Balance_Sheet
Total Assets,,1368,1343,1461,2383,3064,3472,3315,3486,3594,3608,4236,JKPAPER,Balance_Sheet
